Team ;Home;GoalsScored;GoalsConceded ;Season
Eibar;1;1;3;2014/2015
Granada;1;1;0;2014/2015
Real Madrid;1;4;1;2014/2015
Almeria;1;1;0;2014/2015
Barcelona;1;3;2;2014/2015
Levante;1;0;2;2014/2015
Sevilla;1;3;2;2014/2015
Malaga;1;1;0;2014/2015
Real Madrid;1;2;1;2014/2015
La Coruna;1;2;0;2014/2015
Ath Madrid;1;4;0;2014/2015
Levante;1;4;1;2014/2015
Sociedad;1;1;1;2014/2015
Villarreal;1;2;0;2014/2015
Ath Bilbao;1;2;5;2014/2015
Cordoba;1;1;2;2014/2015
Espanol;1;1;2;2014/2015
Getafe;1;2;1;2014/2015
Elche;1;2;0;2014/2015
Almeria;1;2;2;2014/2015
Granada;1;0;0;2014/2015
Malaga;1;0;2;2014/2015
Real Madrid;1;2;0;2014/2015
Sevilla;1;3;0;2014/2015
Barcelona;1;5;0;2014/2015
Celta;1;2;0;2014/2015
Valencia;1;1;0;2014/2015
Vallecano;1;2;0;2014/2015
Eibar;1;0;1;2014/2015
Getafe;1;2;1;2014/2015
Ath Madrid;1;3;0;2014/2015
Barcelona;1;0;1;2014/2015
Cordoba;1;1;2;2014/2015
La Coruna;1;0;2;2014/2015
Ath Bilbao;1;1;0;2014/2015
Elche;1;0;2;2014/2015
Sociedad;1;4;3;2014/2015
Villarreal;1;1;0;2014/2015
Levante;1;2;1;2014/2015
Espanol;1;1;0;2014/2015
Almeria;1;0;0;2014/2015
Granada;1;1;3;2014/2015
Malaga;1;3;2;2014/2015
Vallecano;1;4;2;2014/2015
Eibar;1;0;1;2014/2015
Real Madrid;1;1;1;2014/2015
Sevilla;1;0;0;2014/2015
Valencia;1;2;0;2014/2015
Celta;1;1;1;2014/2015
Levante;1;2;1;2014/2015
Ath Bilbao;1;1;0;2014/2015
Elche;1;1;0;2014/2015
Granada;1;1;0;2014/2015
La Coruna;1;3;4;2014/2015
Ath Madrid;1;1;1;2014/2015
Barcelona;1;6;1;2014/2015
Sociedad;1;1;0;2014/2015
Villarreal;1;4;1;2014/2015
Cordoba;1;1;2;2014/2015
Valencia;1;2;0;2014/2015
Celta;1;1;2;2014/2015
Eibar;1;0;2;2014/2015
Espanol;1;0;0;2014/2015
Vallecano;1;3;1;2014/2015
Almeria;1;0;0;2014/2015
Malaga;1;2;0;2014/2015
Real Madrid;1;2;0;2014/2015
Sevilla;1;3;0;2014/2015
Getafe;1;0;1;2014/2015
Elche;1;0;4;2014/2015
Ath Bilbao;1;2;1;2014/2015
Ath Madrid;1;2;0;2014/2015
Granada;1;0;0;2014/2015
Levante;1;0;1;2014/2015
Vallecano;1;1;0;2014/2015
Barcelona;1;2;1;2014/2015
La Coruna;1;0;0;2014/2015
Sociedad;1;3;1;2014/2015
Villarreal;1;0;2;2014/2015
Eibar;1;1;2;2014/2015
Almeria;1;1;4;2014/2015
Cordoba;1;0;2;2014/2015
Malaga;1;1;1;2014/2015
Sevilla;1;2;0;2014/2015
Celta;1;0;1;2014/2015
Getafe;1;2;1;2014/2015
Real Madrid;1;9;1;2014/2015
Valencia;1;0;0;2014/2015
Espanol;1;1;1;2014/2015
Ath Madrid;1;2;0;2014/2015
Eibar;1;1;0;2014/2015
Levante;1;1;2;2014/2015
Barcelona;1;4;0;2014/2015
Granada;1;1;1;2014/2015
La Coruna;1;1;1;2014/2015
Vallecano;1;0;2;2014/2015
Ath Bilbao;1;1;1;2014/2015
Elche;1;0;1;2014/2015
Villarreal;1;0;3;2014/2015
Almeria;1;3;0;2014/2015
Celta;1;6;1;2014/2015
Malaga;1;2;2;2014/2015
Real Madrid;1;3;0;2014/2015
Sevilla;1;2;2;2014/2015
Cordoba;1;0;2;2014/2015
Espanol;1;1;0;2014/2015
Getafe;1;1;1;2014/2015
Sociedad;1;2;2;2014/2015
Valencia;1;3;0;2014/2015
Levante;1;2;2;2014/2015
Ath Bilbao;1;4;0;2014/2015
Barcelona;1;2;0;2014/2015
La Coruna;1;1;2;2014/2015
Real Madrid;1;3;1;2014/2015
Eibar;1;0;1;2014/2015
Granada;1;1;1;2014/2015
Vallecano;1;2;0;2014/2015
Villarreal;1;0;0;2014/2015
Elche;1;1;0;2014/2015
Cordoba;1;0;1;2014/2015
Ath Madrid;1;3;0;2014/2015
Espanol;1;0;2;2014/2015
Getafe;1;0;1;2014/2015
Sociedad;1;0;0;2014/2015
Almeria;1;2;0;2014/2015
Celta;1;2;4;2014/2015
Malaga;1;1;1;2014/2015
Sevilla;1;2;0;2014/2015
Valencia;1;4;0;2014/2015
Ath Bilbao;1;1;1;2014/2015
Barcelona;1;6;0;2014/2015
Levante;1;1;0;2014/2015
Celta;1;1;0;2014/2015
Eibar;1;1;3;2014/2015
Elche;1;4;0;2014/2015
Real Madrid;1;3;0;2014/2015
Villarreal;1;0;1;2014/2015
Granada;1;1;2;2014/2015
Vallecano;1;1;1;2014/2015
Sociedad;1;3;0;2014/2015
Ath Madrid;1;0;0;2014/2015
Cordoba;1;0;8;2014/2015
La Coruna;1;1;1;2014/2015
Sevilla;1;2;3;2014/2015
Espanol;1;1;1;2014/2015
Getafe;1;1;2;2014/2015
Malaga;1;1;2;2014/2015
Valencia;1;3;1;2014/2015
Almeria;1;2;2;2014/2015
Eibar;1;0;2;2014/2015
Ath Bilbao;1;1;1;2014/2015
Barcelona;1;2;0;2014/2015
Granada;1;2;0;2014/2015
Real Madrid;1;2;2;2014/2015
Almeria;1;1;2;2014/2015
Celta;1;1;1;2014/2015
Levante;1;2;2;2014/2015
Villarreal;1;1;0;2014/2015
Vallecano;1;2;0;2014/2015
Ath Madrid;1;0;1;2014/2015
Cordoba;1;1;2;2014/2015
Elche;1;2;3;2014/2015
Espanol;1;1;4;2014/2015
Getafe;1;1;1;2014/2015
La Coruna;1;2;0;2014/2015
Sevilla;1;2;1;2014/2015
Sociedad;1;0;3;2014/2015
Valencia;1;1;1;2014/2015
Villarreal;1;2;1;2014/2015
Almeria;1;2;3;2014/2015
Ath Bilbao;1;4;0;2014/2015
Barcelona;1;2;2;2014/2015
Celta;1;3;2;2014/2015
Eibar;1;3;0;2014/2015
Granada;1;0;0;2014/2015
Levante;1;0;0;2014/2015
Malaga;1;2;3;2014/2015
Real Madrid;1;7;3;2014/2015
Vallecano;1;2;4;2014/2015
Espanol;0;1;1;2014/2015
La Coruna;0;1;2;2014/2015
Ath Bilbao;0;0;1;2014/2015
Valencia;0;1;1;2014/2015
Elche;0;0;3;2014/2015
Getafe;0;1;3;2014/2015
Sociedad;0;0;1;2014/2015
Villarreal;0;2;0;2014/2015
Cordoba;0;0;2;2014/2015
Ath Madrid;0;0;0;2014/2015
Almeria;0;0;1;2014/2015
Malaga;0;0;3;2014/2015
Levante;0;0;3;2014/2015
Eibar;0;1;2;2014/2015
Celta;0;1;1;2014/2015
Sevilla;0;2;1;2014/2015
Granada;0;1;1;2014/2015
Vallecano;0;2;2;2014/2015
Real Madrid;0;2;4;2014/2015
Barcelona;0;1;0;2014/2015
Cordoba;0;1;1;2014/2015
Ath Bilbao;0;0;2;2014/2015
Sociedad;0;2;2;2014/2015
Levante;0;0;0;2014/2015
Ath Madrid;0;2;1;2014/2015
Villarreal;0;0;0;2014/2015
Getafe;0;0;2;2014/2015
Espanol;0;1;3;2014/2015
Elche;0;3;2;2014/2015
La Coruna;0;1;0;2014/2015
Eibar;0;2;0;2014/2015
Granada;0;1;0;2014/2015
Celta;0;2;2;2014/2015
Malaga;0;2;2;2014/2015
Real Madrid;0;8;2;2014/2015
Sevilla;0;3;1;2014/2015
Barcelona;0;5;0;2014/2015
Almeria;0;2;1;2014/2015
Vallecano;0;2;4;2014/2015
Valencia;0;3;0;2014/2015
La Coruna;0;1;2;2014/2015
Elche;0;1;5;2014/2015
Ath Madrid;0;1;0;2014/2015
Villarreal;0;1;1;2014/2015
Levante;0;1;0;2014/2015
Barcelona;0;0;0;2014/2015
Sociedad;0;0;1;2014/2015
Ath Bilbao;0;1;2;2014/2015
Getafe;0;0;2;2014/2015
Cordoba;0;0;3;2014/2015
Celta;0;1;0;2014/2015
Eibar;0;0;0;2014/2015
Sevilla;0;0;4;2014/2015
Granada;0;0;6;2014/2015
Vallecano;0;2;0;2014/2015
Real Madrid;0;2;0;2014/2015
Espanol;0;0;0;2014/2015
Malaga;0;0;1;2014/2015
Almeria;0;1;0;2014/2015
Valencia;0;1;1;2014/2015
Cordoba;0;1;1;2014/2015
Elche;0;2;2;2014/2015
Levante;0;3;3;2014/2015
Granada;0;1;2;2014/2015
Ath Madrid;0;1;3;2014/2015
Barcelona;0;2;0;2014/2015
Villarreal;0;3;1;2014/2015
Sociedad;0;0;2;2014/2015
Ath Bilbao;0;0;5;2014/2015
La Coruna;0;1;4;2014/2015
Vallecano;0;1;0;2014/2015
Celta;0;1;1;2014/2015
Eibar;0;0;3;2014/2015
Malaga;0;2;1;2014/2015
Real Madrid;0;5;0;2014/2015
Espanol;0;0;2;2014/2015
Sevilla;0;2;0;2014/2015
Valencia;0;0;3;2014/2015
Almeria;0;0;2;2014/2015
Getafe;0;2;1;2014/2015
Levante;0;0;3;2014/2015
Ath Bilbao;0;1;0;2014/2015
Sociedad;0;1;1;2014/2015
Granada;0;1;1;2014/2015
Barcelona;0;1;3;2014/2015
Elche;0;1;3;2014/2015
La Coruna;0;0;0;2014/2015
Ath Madrid;0;1;0;2014/2015
Vallecano;0;0;4;2014/2015
Villarreal;0;1;2;2014/2015
Getafe;0;2;1;2014/2015
Cordoba;0;2;4;2014/2015
Celta;0;1;0;2014/2015
Real Madrid;0;4;0;2014/2015
Malaga;0;1;0;2014/2015
Sevilla;0;0;1;2014/2015
Espanol;0;1;2;2014/2015
Almeria;0;1;2;2014/2015
Valencia;0;3;1;2014/2015
Eibar;0;3;2;2014/2015
La Coruna;0;0;0;2014/2015
Barcelona;0;2;1;2014/2015
Granada;0;0;0;2014/2015
Elche;0;0;0;2014/2015
Eibar;0;1;2;2014/2015
Vallecano;0;1;5;2014/2015
Villarreal;0;1;1;2014/2015
Levante;0;1;1;2014/2015
Ath Madrid;0;1;2;2014/2015
Ath Bilbao;0;0;0;2014/2015
Espanol;0;1;3;2014/2015
Malaga;0;1;3;2014/2015
Sevilla;0;1;5;2014/2015
Real Madrid;0;4;0;2014/2015
Sociedad;0;0;0;2014/2015
Cordoba;0;2;2;2014/2015
Valencia;0;1;2;2014/2015
Celta;0;0;1;2014/2015
Getafe;0;1;2;2014/2015
Almeria;0;0;0;2014/2015
Elche;0;0;3;2014/2015
Eibar;0;1;0;2014/2015
Levante;0;1;2;2014/2015
Ath Bilbao;0;2;1;2014/2015
Real Madrid;0;2;1;2014/2015
La Coruna;0;0;2;2014/2015
Villarreal;0;2;0;2014/2015
Granada;0;1;5;2014/2015
Barcelona;0;1;0;2014/2015
Vallecano;0;1;0;2014/2015
Cordoba;0;1;0;2014/2015
Ath Madrid;0;2;0;2014/2015
Malaga;0;1;0;2014/2015
Celta;0;0;3;2014/2015
Espanol;0;1;5;2014/2015
Valencia;0;1;1;2014/2015
Sevilla;0;1;0;2014/2015
Sociedad;0;0;4;2014/2015
Almeria;0;2;5;2014/2015
Getafe;0;1;1;2014/2015
Real Madrid;0;4;1;2014/2015
Levante;0;0;0;2014/2015
Barcelona;0;0;0;2014/2015
Celta;0;0;1;2014/2015
Vallecano;0;0;3;2014/2015
Villarreal;0;1;0;2014/2015
Granada;0;1;2;2014/2015
Eibar;0;0;0;2014/2015
Ath Bilbao;0;1;1;2014/2015
Elche;0;0;1;2014/2015
Almeria;0;1;0;2014/2015
Cordoba;0;0;5;2014/2015
Valencia;0;1;0;2014/2015
Sociedad;0;1;1;2014/2015
Espanol;0;3;1;2014/2015
Ath Madrid;0;4;1;2014/2015
Malaga;0;2;1;2014/2015
Getafe;0;1;1;2014/2015
La Coruna;0;0;3;2014/2015
Levante;0;1;3;2014/2015
Villarreal;0;2;2;2014/2015
Ath Bilbao;0;0;1;2014/2015
Almeria;0;2;1;2014/2015
Celta;0;0;1;2014/2015
Eibar;0;2;1;2014/2015
Vallecano;0;2;1;2014/2015
Barcelona;0;0;1;2014/2015
Real Madrid;0;1;2;2014/2015
Granada;0;0;2;2014/2015
La Coruna;0;0;0;2014/2015
Valencia;0;1;1;2014/2015
Getafe;0;1;2;2014/2015
Villarreal;0;1;1;2014/2015
Espanol;0;0;3;2014/2015
Sevilla;0;2;0;2014/2015
Elche;0;2;1;2014/2015
Ath Madrid;0;1;3;2014/2015
Sociedad;0;1;1;2014/2015
Cordoba;0;1;0;2014/2015
Eibar;0;1;1;2014/2015
Celta;0;0;1;2014/2015
Vallecano;0;1;0;2014/2015
Almeria;0;2;3;2014/2015
Ath Bilbao;0;0;2;2014/2015
Granada;0;0;2;2014/2015
Levante;0;0;1;2014/2015
Real Madrid;0;3;0;2014/2015
Barcelona;0;4;0;2014/2015
Malaga;0;0;2;2014/2015
Vallecano;0;1;3;2014/2015
Real Madrid;0;2;1;2014/2015
Barcelona;0;6;0;2014/2015
Eibar;0;0;1;2014/2015
Levante;0;0;1;2014/2015
Malaga;0;1;1;2014/2015
Almeria;0;0;3;2014/2015
Granada;0;2;2;2014/2015
Sevilla;0;1;3;2014/2015
Celta;0;1;2;2014/2015
La Coruna;0;2;1;2014/2015
Cordoba;0;0;1;2014/2015
Ath Madrid;0;3;1;2014/2015
Elche;0;0;1;2014/2015
Sociedad;0;1;4;2014/2015
Getafe;0;0;1;2014/2015
Villarreal;0;2;3;2014/2015
Ath Bilbao;0;2;0;2014/2015
Espanol;0;2;3;2014/2015
Valencia;0;0;1;2014/2015
Sevilla;0;1;2;2014/2015
Eibar;0;0;2;2014/2015
Real Madrid;0;0;4;2014/2015
Malaga;0;1;4;2014/2015
Celta;0;1;1;2014/2015
Granada;0;0;2;2014/2015
Barcelona;0;5;2;2014/2015
Almeria;0;2;1;2014/2015
Valencia;0;2;1;2014/2015
Sevilla;0;1;2;2014/2015
Vallecano;0;0;2;2014/2015
Sociedad;0;2;2;2014/2015
Ath Bilbao;0;0;0;2014/2015
Espanol;0;2;0;2014/2015
La Coruna;0;0;2;2014/2015
Cordoba;0;0;3;2014/2015
Levante;0;0;5;2014/2015
Ath Madrid;0;0;2;2014/2015
Getafe;0;0;1;2014/2015
Villarreal;0;0;2;2014/2015
Elche;0;1;0;2014/2015
Espanol;0;1;2;2014/2015
Almeria;0;0;3;2014/2015
Malaga;0;1;0;2014/2015
Valencia;0;2;1;2014/2015
Celta;0;2;0;2014/2015
Vallecano;0;0;1;2014/2015
Real Madrid;0;2;0;2014/2015
Sevilla;0;3;4;2014/2015
Eibar;0;0;1;2014/2015
Granada;0;1;2;2014/2015
Cordoba;0;0;1;2014/2015
La Coruna;0;0;0;2014/2015
Barcelona;0;3;1;2014/2015
Getafe;0;2;3;2014/2015
Levante;0;2;4;2014/2015
Ath Bilbao;0;1;0;2014/2015
Villarreal;0;1;1;2014/2015
Ath Madrid;0;0;0;2014/2015
Sociedad;0;0;2;2014/2015
Elche;0;1;1;2014/2015
Eibar;0;1;2;2014/2015
Real Madrid;0;0;1;2014/2015
Almeria;0;0;1;2014/2015
Malaga;0;0;1;2014/2015
Sevilla;0;4;3;2014/2015
Valencia;0;1;1;2014/2015
Vallecano;0;1;6;2014/2015
Espanol;0;0;1;2014/2015
Celta;0;1;4;2014/2015
Getafe;0;2;1;2014/2015
La Coruna;0;0;2;2014/2015
Ath Bilbao;0;2;1;2014/2015
Barcelona;0;2;0;2014/2015
Ath Madrid;0;0;0;2014/2015
Granada;0;1;3;2014/2015
Villarreal;0;0;0;2014/2015
Cordoba;0;0;2;2014/2015
Levante;0;0;2;2014/2015
Elche;0;0;3;2014/2015
Sociedad;0;1;0;2014/2015
Valencia;0;4;0;2014/2015
Almeria;0;1;2;2014/2015
Getafe;0;0;2;2014/2015
Eibar;0;0;0;2014/2015
Celta;0;1;0;2014/2015
Malaga;0;0;1;2014/2015
Real Madrid;0;1;2;2014/2015
Espanol;0;0;0;2014/2015
Cordoba;0;1;3;2014/2015
Sevilla;0;2;0;2014/2015
Vallecano;0;2;1;2014/2015
Levante;0;4;1;2014/2015
Ath Madrid;0;2;0;2014/2015
Sociedad;0;1;1;2014/2015
Ath Bilbao;0;0;2;2014/2015
Barcelona;0;1;0;2014/2015
La Coruna;0;1;2;2014/2015
Granada;0;1;9;2014/2015
Villarreal;0;0;0;2014/2015
Elche;0;1;1;2014/2015
Sociedad;0;0;2;2014/2015
Malaga;0;0;1;2014/2015
Sevilla;0;2;1;2014/2015
Almeria;0;0;4;2014/2015
Celta;0;1;1;2014/2015
Cordoba;0;1;1;2014/2015
Real Madrid;0;2;0;2014/2015
Valencia;0;1;1;2014/2015
Getafe;0;1;0;2014/2015
Espanol;0;3;0;2014/2015
Granada;0;0;3;2014/2015
Vallecano;0;1;6;2014/2015
Ath Madrid;0;2;2;2014/2015
Eibar;0;0;3;2014/2015
Barcelona;0;2;2;2014/2015
Elche;0;2;0;2014/2015
Ath Bilbao;0;0;1;2014/2015
Villarreal;0;1;1;2014/2015
La Coruna;0;2;2;2014/2015
Levante;0;0;3;2014/2015
Espanol;0;2;2;2014/2015
Getafe;0;0;4;2014/2015
Valencia;0;0;2;2014/2015
Ath Madrid;0;2;1;2014/2015
Malaga;0;1;3;2014/2015
Celta;0;1;0;2014/2015
Sevilla;0;1;1;2014/2015
Almeria;0;0;2;2014/2015
Cordoba;0;0;0;2014/2015
Sociedad;0;0;1;2014/2015
Ath Bilbao;0;1;0;2014/2015
Elche;0;0;3;2014/2015
Barcelona;0;2;0;2014/2015
Levante;0;1;0;2014/2015
Villarreal;0;0;0;2014/2015
Eibar;0;0;2;2014/2015
Real Madrid;0;4;2;2014/2015
La Coruna;0;1;1;2014/2015
Vallecano;0;0;2;2014/2015
Granada;0;0;4;2014/2015
Sociedad;0;1;1;2014/2015
Getafe;0;0;6;2014/2015
Cordoba;0;0;1;2014/2015
Malaga;0;0;1;2014/2015
Sevilla;0;3;1;2014/2015
La Coruna;0;0;4;2014/2015
Almeria;0;0;3;2014/2015
Ath Madrid;0;1;0;2014/2015
Espanol;0;2;1;2014/2015
Valencia;0;1;1;2014/2015
Levante;0;0;3;2014/2015
Ath Bilbao;0;0;0;2014/2015
Barcelona;0;8;0;2014/2015
Villarreal;0;1;1;2014/2015
Real Madrid;0;3;2;2014/2015
Vallecano;0;1;1;2014/2015
Granada;0;2;1;2014/2015
Elche;0;2;1;2014/2015
Eibar;0;1;3;2014/2015
Celta;0;2;2;2014/2015
Espanol;0;2;0;2014/2015
La Coruna;0;1;1;2014/2015
Sociedad;0;0;2;2014/2015
Cordoba;0;0;2;2014/2015
Valencia;0;2;2;2014/2015
Malaga;0;2;1;2014/2015
Sevilla;0;1;1;2014/2015
Ath Madrid;0;2;2;2014/2015
Elche;0;0;1;2014/2015
Getafe;0;0;2;2014/2015
Barcelona;0;1;0;2014/2015
Vallecano;0;2;1;2014/2015
Ath Bilbao;0;3;2;2014/2015
Real Madrid;0;4;1;2014/2015
Eibar;0;1;1;2014/2015
Levante;0;0;2;2014/2015
Almeria;0;1;2;2014/2015
Granada;0;3;0;2014/2015
Celta;0;1;1;2014/2015
Malaga;0;1;2;2014/2015
Valencia;0;3;2;2014/2015
Villarreal;0;0;4;2014/2015
La Coruna;0;2;2;2014/2015
Espanol;0;2;3;2014/2015
Cordoba;0;0;3;2014/2015
Ath Madrid;0;0;0;2014/2015
Elche;0;0;0;2014/2015
Sevilla;0;3;2;2014/2015
Getafe;0;3;7;2014/2015
Sociedad;0;4;2;2014/2015
